Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,url,Driftskostnad,Uteplats,Biarea,Tomtarea,Arrende,Förening,Tomträttsavgäld,Lat,Long
895 000 kr,Blekingsborgsgatan 9,Lägenhet,"Blekingsborg, Malmö kommun",Såld 25 april 2022,Anders Backman,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/anders-backman-15211,25 942 kr/m²,895 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"34,5 m²",Nej,"1 av 4, hiss finns ej",1957,2 488 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-blekingsborg-malmo-kommun-blekingsborgsgatan-9-502891009517516653,,,,,,,,55.5771785,13.003139
3 195 000 kr,Lilla Varvsgatan 25B,Lägenhet,"Västra Hamnen, Malmö kommun",Såld 24 juni 2021,Natalie Diko,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/natalie-diko-12661,43 176 kr/m²,3 195 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,3 rum,74 m²,Ja,"2 av 6, hiss finns",2021,4 192 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-vastra-hamnen-malmo-kommun-lilla-varvsgatan-25b-1414059,3 480 kr/år,,,,,,,55.6144582,12.9864738
830 000 kr,Västmanlandsgatan 4 E,Lägenhet,"Dalaplan, Malmö kommun",Såld 21 mars 2021,Ericka Nguyen,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/ericka-nguyen-8936,20 494 kr/m²,895 000 kr,-65 000 kr (-7 %),Lägenhet,Bostadsrätt,1 rum,"40,5 m²",,"1,5 av 3, hiss finns ej",1944,2 355 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-dalaplan-malmo-kommun-vastmanlandsgatan-4-e-1351002,,,,,,,,55.5840336,13.0108695
780 000 kr,Norrbäcksgatan 35,Lägenhet,"Kroksbäck, Malmö kommun",Såld 15 februari 2022,Emil Hagström,https://www.hemnet.se/maklare/norban-722491/emil-hagstrom-19246,25 161 kr/m²,750 000 kr,+30 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,31 m²,Nej,"1, hiss finns",1966,1 721 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-kroksback-malmo-kommun-norrbacksgatan-35-1808971628295864685,3 500 kr/år,,,,,,,55.5775788,12.9752665
1 785 000 kr,Einar Hansens esplanad 3,Lägenhet,"Västra Hamnen, Malmö kommun",Såld 21 maj 2021,Mikias Yonas,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/mikias-yonas-15256,51 000 kr/m²,1 750 000 kr,+35 000 kr (+2 %),Lägenhet,Bostadsrätt,1 rum,35 m²,Nej,"1 av 6, hiss finns",2021,2 071 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-vastra-hamnen-malmo-kommun-einar-hansens-esplanad-3-1390482,,,,,,,,55.6113801,12.9830536
2 400 000 kr,Edward Lindahlsgatan 12D,Lägenhet,"Fågelbacken, Malmö kommun",Såld 07 april 2021,Dennis Berg,https://www.hemnet.se/maklare/bjurfors-jonkoping-711611/dennis-berg-10675,48 000 kr/m²,2 295 000 kr,+105 000 kr (+5 %),Lägenhet,Bostadsrätt,2 rum,50 m²,Ja,"4 av 4, hiss finns ej",1938,2 389 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-fagelbacken-malmo-kommun-edward-lindahlsgatan-12d-1359848,,,,,,,,55.5952281,12.9865808
1 500 000 kr,Brobygatan 2A,Lägenhet,"Nobeltorget, Malmö kommun",Såld 26 februari 2020,Alexander Gustafsson,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/alexander-gustafsson-16281,33 784 kr/m²,1 395 000 kr,+105 000 kr (+8 %),Lägenhet,Bostadsrätt,2 rum,"44,4 m²",Nej,,1937,2 870 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-nobeltorget-malmo-kommun-brobygatan-2a-1148058,,,,,,,,55.5909657,13.0176662
2 710 000 kr,Hjulhamnsgatan 8,Lägenhet,"Gamla Väster, Malmö kommun",Såld 27 februari 2018,Anna Danielsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/anna-danielsson-9234,48 393 kr/m²,2 595 000 kr,+115 000 kr (+4 %),Lägenhet,Bostadsrätt,2 rum,56 m²,,,2008,4 069 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-gamla-vaster-malmo-kommun-hjulhamnsgatan-8-798138,4 853 kr/år,,,,,Brf Gyllenstjärnan,,55.604532,12.9987561
825 000 kr,Botildenborgsvägen 9A,Lägenhet,"Västra Kattarp, Malmö kommun",Såld 11 mars 2018,Joakim Johansson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/joakim-johansson-14118,14 602 kr/m²,795 000 kr,+30 000 kr (+4 %),Lägenhet,Bostadsrätt,2 rum,"56,5 m²",,,1955,3 511 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-vastra-kattarp-malmo-kommun-botildenborgsvagen-9a-803148,5 400 kr/år,,,,,Riksbyggen Brf Malmöhus nr 7,,55.5794687,13.0347886
1 650 000 kr,Kilian Zollsgatan 27A,Lägenhet,"Ribersborg, Malmö kommun",Såld 05 januari 2021,Veronika Oskarsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/veronika-oskarsson-11461,43 421 kr/m²,1 495 000 kr,+155 000 kr (+10 %),Lägenhet,Bostadsrätt,"1,5 rum",38 m²,Ja,"1 av 4, hiss finns",1954,2 850 kr/mån,"https://www.hemnet.se/salda/lagenhet-1,5rum-ribersborg-malmo-kommun-kilian-zollsgatan-27a-1311158",4 860 kr/år,,,,,,,55.6016543,12.980564
1 520 000 kr,Hantverkaregatan 15 e,Lägenhet,"S:t Knut, Malmö kommun",Såld 17 augusti 2018,Elaine Mürgas,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/elaine-murgas-11453,44 706 kr/m²,1 495 000 kr,+25 000 kr (+2 %),Lägenhet,Annat,1 rum,34 m²,,,1927,1 816 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-s-t-knut-malmo-kommun-hantverkaregatan-15-e-866587,,,,,,Bf Andréelund UPA,,55.5968662,13.0136301
1 850 000 kr,Andréegatan 8,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 18 mars 2022,Emma Wrangmark,https://www.hemnet.se/maklare/svensk-fastighetsformedling-malmo-701451/emma-wrangmark-13676,54 412 kr/m²,1 795 000 kr,+55 000 kr (+3 %),Lägenhet,Andel i bostadsförening,2 rum,34 m²,,3,,2 772 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-rorsjostaden-malmo-kommun-andreegatan-8-1799445955501887401,2 100 kr/år,,,,,,,55.6027567,13.0164494
1 630 000 kr,Mäster Henriksgatan 10 C,Lägenhet,"S:t Knut, Malmö kommun",Såld 05 oktober 2020,Malin Thelander,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/malin-thelander-6179,43 122 kr/m²,1 550 000 kr,+80 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,"37,8 m²",Nej,"1 av 4, hiss finns ej",1932,1 742 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-s-t-knut-malmo-kommun-master-henriksgatan-10-c-1264334,3 620 kr/år,,,,,,,55.59703,13.0155559
1 280 000 kr,Lönngatan 46A,Lägenhet,"Lönngården, Malmö kommun",Såld 25 februari 2022,,,20 645 kr/m²,1 095 000 kr,+185 000 kr (+17 %),Lägenhet,Bostadsrätt,"2,5 rum",62 m²,Nej,"3 av 4, hiss finns ej",1936,2 847 kr/mån,"https://www.hemnet.se/salda/lagenhet-2,5rum-lonngarden-malmo-kommun-lonngatan-46a-2426037317786742918",,,,,,,,55.583883,13.0220139
2 610 000 kr,Köpenhamnsvägen 40 A,Lägenhet,"Slottsstaden/Erikslust, Malmö kommun",Såld 03 maj 2021,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,47 027 kr/m²,2 095 000 kr,+515 000 kr (+25 %),Lägenhet,Bostadsrätt,2 rum,"55,5 m²",Ja,"7 av 7, hiss finns",1952,3 280 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-erikslust-malmo-kommun-kopenhamnsvagen-40-a-1377209,6 300 kr/år,,,,,,,55.5934095,12.9720382
3 200 000 kr,Köpenhamnsvägen 43B,Lägenhet,"Slottsstaden, Malmö kommun",Såld 09 september 2021,Sandra Kalamar,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/sandra-kalamar-18996,40 000 kr/m²,2 995 000 kr,+205 000 kr (+7 %),Lägenhet,Bostadsrätt,3 rum,80 m²,Ja,"5 av 7, hiss finns",1952,5 453 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-slottsstaden-malmo-kommun-kopenhamnsvagen-43b-1453775,4 320 kr/år,,,,,,,55.5941882,12.9709877
1 480 000 kr,Dalaplan 2 B,Lägenhet,"Dalaplan, Malmö kommun",Såld 21 juli 2021,Tobias Axéll,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/tobias-axell-15212,24 667 kr/m²,1 395 000 kr,+85 000 kr (+6 %),Lägenhet,Bostadsrätt,2 rum,60 m²,,"2 av 4, hiss finns ej",1938,3 609 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-dalaplan-malmo-kommun-dalaplan-2-b-1426683,,,,,,,,55.5847349,13.006212184876802
795 000 kr,Bragegatan 5C,Lägenhet,"Dalaplan/Södervärn, Malmö kommun",Såld 21 maj 2019,Malin Strender,https://www.hemnet.se/maklare/mohv-malmo-20887/malin-strender-1700,20 127 kr/m²,795 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"39,5 m²",,,1944,2 206 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-dalaplan-sodervarn-malmo-kommun-bragegatan-5c-1016217,,,,,,,,55.5839859,13.0146846
1 875 000 kr,Köpenhamnsvägen 46 A,Lägenhet,"Slottsstaden, Malmö kommun",Såld 29 september 2016,Martin Arup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/martin-arup-6181,29 297 kr/m²,1 795 000 kr,+80 000 kr (+4 %),Lägenhet,Bostadsrätt,3 rum,64 m²,,,1953,3 138 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-slottsstaden-malmo-kommun-kopenhamnsvagen-46-a-581440,,,,,,HSB:s Bostadsrättsförening Pukan i Malmö,,55.5936263,12.9693596
1 450 000 kr,Harvgränd 4,Lägenhet,"Limhamn, Malmö kommun",Såld 27 december 2017,Patrik Tegnhammar,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/patrik-tegnhammar-10542,38 158 kr/m²,1 495 000 kr,-45 000 kr (-3 %),Lägenhet,Bostadsrätt,2 rum,38 m²,,,2017,2 817 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-limhamn-malmo-kommun-harvgrand-4-775509,,,,,,Brf Trollsländan på Elinegård,,55.5689132,12.945544
1 210 000 kr,Sallerupsvägen 87,Lägenhet,"Håkanstorp, Malmö kommun",Såld 19 januari 2018,,,30 633 kr/m²,990 000 kr,+220 000 kr (+22 %),Lägenhet,Bostadsrätt,2 rum,"39,5 m²",,,2017,2 917 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-hakanstorp-malmo-kommun-sallerupsvagen-87-781366,,,,,,Bonum Brf Kungsliljan,,55.6004778,13.0402289
950 000 kr,Balladgatan 21,Lägenhet,"Högaholm, Malmö kommun",Såld 03 september 2020,,,15 200 kr/m²,895 000 kr,+55 000 kr (+6 %),Lägenhet,Bostadsrätt,2 rum,"62,5 m²",,"4 av 5, hiss finns",1971,3 334 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-hogaholm-malmo-kommun-balladgatan-21-1244427,,,,,,,,55.561683,13.0105403
1 150 000 kr,Kronetorpsgatan 52 B,Lägenhet,"Segevång, Malmö kommun",Såld 06 oktober 2020,Silva Curraj,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/silva-curraj-325,21 101 kr/m²,1 150 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,"54,5 m²",Ja,"6 av 9, hiss finns",1961,3 697 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-segevang-malmo-kommun-kronetorpsgatan-52-b-1265009,4 860 kr/år,,,,,,,55.6158376,13.0513723
1 600 000 kr,Trelleborgsgatan 12,Lägenhet,"Folkets Park, Malmö kommun",Såld 29 maj 2020,,,25 723 kr/m²,1 695 000 kr,-95 000 kr (-6 %),Lägenhet,Bostadsrätt,2 rum,"62,2 m²",Nej,,1938,2 700 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-folkets-park-malmo-kommun-trelleborgsgatan-12-1194572,,,,,,,,55.5919335,13.0175865
1 270 000 kr,Konsultgatan 30,Lägenhet,"Södertorp, Malmö kommun",Såld 16 februari 2019,Rickard Bremer,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/rickard-bremer-11315,20 159 kr/m²,1 195 000 kr,+75 000 kr (+6 %),Lägenhet,Bostadsrätt,2 rum,63 m²,,,1972,3 657 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-sodertorp-malmo-kommun-konsultgatan-30-947708,,,,,,HSB Brf Södertorp i Malmö,,55.5763851,12.9883832
695 000 kr,Sofielundsvägen 10B,Lägenhet,"Möllevången, Malmö kommun",Såld 16 april 2015,,,21 061 kr/m²,695 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,33 m²,,,1907,2 312 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-mollevangen-malmo-kommun-sofielundsvagen-10b-330479,4 200 kr/år,,,,,Brf Idet 11,,55.5885809,13.0179385
1 720 000 kr,Bobergsängen 1B,Lägenhet,"Pildammarna, Malmö kommun",Såld 07 augusti 2016,Josefine Falk,https://www.hemnet.se/maklare/fastighetsbyran-landskrona-191/josefine-falk-10441,33 077 kr/m²,1 650 000 kr,+70 000 kr (+4 %),Lägenhet,Bostadsrätt,2 rum,52 m²,,,1947,2 491 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-pildammarna-malmo-kommun-bobergsangen-1b-551391,,,,,,Brf Svenstorp Nr 3,,55.5902263,12.984641
1 250 000 kr,Kristianstadsgatan 25 B,Lägenhet,"Möllevången, Malmö kommun",Såld 12 februari 2021,Ericka Nguyen,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/ericka-nguyen-8936,33 784 kr/m²,1 295 000 kr,-45 000 kr (-3 %),Lägenhet,Bostadsrätt,"1,5 rum",37 m²,,"3 av 4, hiss finns ej",1935,2 936 kr/mån,"https://www.hemnet.se/salda/lagenhet-1,5rum-mollevangen-malmo-kommun-kristianstadsgatan-25-b-1330333",4 000 kr/år,,,,,Brf Vildvinet 2,,55.5914708,13.0152613
1 620 000 kr,Fredmansgatan 7,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 20 mars 2020,,,37 674 kr/m²,1 495 000 kr,+125 000 kr (+8 %),Lägenhet,Andel i bostadsförening,2 rum,43 m²,,,1928,2 064 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-rorsjostaden-malmo-kommun-fredmansgatan-7-1159574,7 272 kr/år,,,,,,,55.6034387,13.0187216
1 100 000 kr,Ellstorpsgatan 4A,Lägenhet,"Ellstorp, Malmö kommun",Såld 23 maj 2022,Alexander Gustafsson,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/alexander-gustafsson-16281,28 947 kr/m²,1 095 000 kr,+5 000 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,38 m²,Nej,"1,5 av 4, hiss finns ej",1938,3 368 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ellstorp-malmo-kommun-ellstorpsgatan-4a-7910217955633488416,,,,,,,,55.604438,13.0297091
1 400 000 kr,Vitemöllegatan 10C,Lägenhet,"Nobeltorget, Malmö kommun",Såld 21 mars 2023,Oscar Guedra,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/oscar-guedra-8228,26 415 kr/m²,1 295 000 kr,+105 000 kr (+8 %),Lägenhet,Bostadsrätt,2 rum,53 m²,Ja,"4 av 4, hiss finns ej",1945,4 041 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-nobeltorget-malmo-kommun-vitemollegatan-10c-8240652237893105419,,,,,,,,55.5894781,13.0257103
3 150 000 kr,Baltzarsgatan 14F,Lägenhet,"City, Malmö kommun",Såld 06 juli 2022,Anna Danielsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/anna-danielsson-9234,49 219 kr/m²,3 195 000 kr,-45 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,64 m²,Ja,"4 av 8, hiss finns",2006,4 085 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-city-malmo-kommun-baltzarsgatan-14f-2716874069361009101,1 774 kr/år,,,,,,,55.6046307,13.0020676
1 775 000 kr,Köpenhamnsvägen 42C,Lägenhet,"Slottsstaden, Malmö kommun",Såld 07 maj 2020,Jan Sturesson-Rodrigues,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/jan-sturesson-rodrigues-15342,30 085 kr/m²,1 795 000 kr,-20 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,59 m²,Ja,,1951,3 431 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-kopenhamnsvagen-42c-1181812,6 954 kr/år,,,,,,,55.5942129,12.9656625
1 380 000 kr,Packhusgatan 27,Lägenhet,"Limhamn, Malmö kommun",Såld 07 maj 2023,Felicia Johansson,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/felicia-johansson-20780,40 000 kr/m²,1 495 000 kr,-115 000 kr (-8 %),Lägenhet,Bostadsrätt,1 rum,"34,5 m²",Ja,"6 av 9, hiss finns",2023,2 316 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-limhamn-malmo-kommun-packhusgatan-27-1634325370892605125,,,,,,,,55.5887396,12.9330203
3 950 000 kr,Limhamnsvägen 10A,Lägenhet,"Ribersborg, Malmö kommun",Såld 15 juli 2019,Johan Berglund,https://www.hemnet.se/maklare/husmanhagberg-malmo-4545/johan-berglund-2105,44 382 kr/m²,3 850 000 kr,+100 000 kr (+3 %),Lägenhet,Bostadsrätt,4 rum,89 m²,,,1954,5 047 kr/mån,https://www.hemnet.se/salda/lagenhet-4rum-ribersborg-malmo-kommun-limhamnsvagen-10a-1045030,,,,,,,,55.5859992,12.9294591
2 100 000 kr,Köpenhamnsvägen 41C,Lägenhet,"Slottsstaden/Erikslust, Malmö kommun",Såld 11 september 2019,,,28 000 kr/m²,1 995 000 kr,+105 000 kr (+5 %),Lägenhet,Bostadsrätt,3 rum,75 m²,,,1952,5 263 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-slottsstaden-erikslust-malmo-kommun-kopenhamnsvagen-41c-1072390,,,,,,,,55.5943311,12.9719955
3 500 000 kr,S:t Pauli kyrkogata 10,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 15 juni 2021,Mathilda Skoglund,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/mathilda-skoglund-11409,57 377 kr/m²,2 995 000 kr,+505 000 kr (+17 %),Lägenhet,Andel i bostadsförening,2 rum,61 m²,Ja,"4 av 4, hiss finns ej",1929,2 931 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-rorsjostaden-malmo-kommun-s-t-pauli-kyrkogata-10-1406818,,,,,,,,55.602430049999995,13.015449376893494
1 685 000 kr,Klågerupsvägen 315D,Lägenhet,"Virentofta, Malmö kommun",Såld 23 april 2021,Emma Zacharian,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/emma-zacharian-1399,27 623 kr/m²,1 495 000 kr,+190 000 kr (+13 %),Lägenhet,Bostadsrätt,2 rum,61 m²,,"1 av 2, hiss finns ej",1977,3 121 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-virentofta-malmo-kommun-klagerupsvagen-315d-1371229,,,,,,,,55.5869791,13.1117705
1 770 000 kr,Slussgatan 14:6,Lägenhet,"Slussen, Malmö kommun",Såld 01 juni 2016,,,31 607 kr/m²,1 695 000 kr,+75 000 kr (+4 %),Lägenhet,Bostadsrätt,2 rum,56 m²,,,1907,3 130 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slussen-malmo-kommun-slussgatan-14-6-525936,,,,,,Brf Gustav,,55.6084108,13.0169583
1 995 000 kr,Roskildevägen 33A,Lägenhet,"Dammfri, Malmö kommun",Såld 10 december 2021,Emil Hagström,https://www.hemnet.se/maklare/norban-722491/emil-hagstrom-19246,37 713 kr/m²,2 095 000 kr,-100 000 kr (-5 %),Lägenhet,Bostadsrätt,2 rum,"52,9 m²",Ja,"3 av 3, hiss finns ej",1947,3 152 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-dammfri-malmo-kommun-roskildevagen-33a-1510854,2 700 kr/år,,,,,,,55.5918302,12.9870156
1 100 000 kr,Jägersrovägen 12B,Lägenhet,"Västra Kattarp, Malmö kommun",Såld 13 februari 2024,Arian Askari,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/arian-askari-23357,19 298 kr/m²,1 095 000 kr,+5 000 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,57 m²,Ja,"3 av 4, hiss finns ej",1955,4 138 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-vastra-kattarp-malmo-kommun-jagersrovagen-12b-7635019638422090261,,,,,,,,55.5791006,13.0349524
2 470 000 kr,Bellmansgatan 2,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 02 juni 2022,Elaine Mürgas,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/elaine-murgas-11453,40 492 kr/m²,2 495 000 kr,-25 000 kr (-1 %),Lägenhet,Andel i bostadsförening,2 rum,61 m²,,"3 av 4, hiss finns ej",1927,3 748 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-rorsjostaden-malmo-kommun-bellmansgatan-2-260314908465145041,,,,,,,,55.6034387,13.0187216
2 200 000 kr,Solhöjdsgatan 9,Lägenhet,"Varvsstaden, Malmö kommun",Såld 20 april 2022,Leila Manouchehrian Nilsson,https://www.hemnet.se/maklare/svenska-maklarhuset-malmo-city-730411/leila-manouchehrian-nilsson-20372,64 706 kr/m²,2 095 000 kr,+105 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,34 m²,Ja,"5 av 7, hiss finns",2021,2 223 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-varvsstaden-malmo-kommun-solhojdsgatan-9-574496026788289511,,,,,,,,55.6090212,12.9845453
745 000 kr,Kungsgatan 34 A,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 28 mars 2014,,,21 286 kr/m²,795 000 kr,-50 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,35 m²,,,1920-tal,1 937 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-rorsjostaden-malmo-kommun-kungsgatan-34-a-174706,3 384 kr/år,,,,,Brf Paula 27,,55.6028267,13.015397
1 340 000 kr,Statistgatan 18,Lägenhet,"Lindeborg, Malmö kommun",Såld 16 januari 2018,,,17 070 kr/m²,1 395 000 kr,-55 000 kr (-4 %),Lägenhet,Bostadsrätt,3 rum,"78,5 m²",,,1973,4 080 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-lindeborg-malmo-kommun-statistgatan-18-779251,,,,,,HSB Brf Lindeborg i Malmö,,55.557555,12.991062
1 970 000 kr,Konduktörsgatan 5,Lägenhet,"Slussen, Malmö kommun",Såld 22 oktober 2019,,,29 848 kr/m²,1 890 000 kr,+80 000 kr (+4 %),Lägenhet,Bostadsrätt,2 rum,66 m²,,,1930,3 690 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slussen-malmo-kommun-konduktorsgatan-5-1096718,3 996 kr/år,,,,,,,55.608274,13.0200527
1 250 000 kr,Abbekåsgatan 12C,Lägenhet,"Nobeltorget, Malmö kommun",Såld 22 april 2022,,,36 765 kr/m²,1 195 000 kr,+55 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,34 m²,Ja,"1 av 4, hiss finns ej",1942,2 533 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-nobeltorget-malmo-kommun-abbekasgatan-12c-8485340828431987166,2 000 kr/år,,,,,,,55.5920084,13.0217886
3 495 000 kr,Storgatan 26,Lägenhet,"Davidshall, Malmö kommun",Såld 03 april 2023,Rebecka Ovesen Wågert,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/rebecka-ovesen-wagert-19855,54 609 kr/m²,3 495 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,64 m²,Nej,"4 av 5, hiss finns",1933,3 921 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-davidshall-malmo-kommun-storgatan-26-457666082145310554,,,,,,,,55.599643900000004,12.998999237958348
1 575 000 kr,Sufflörgatan 7,Lägenhet,"Lindeborg, Malmö kommun",Såld 07 december 2022,Natalie Diko,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/natalie-diko-12661,25 403 kr/m²,1 595 000 kr,-20 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,62 m²,Ja,"5 av 8, hiss finns",1972,3 403 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-lindeborg-malmo-kommun-sufflorgatan-7-8862680191196228912,2 520 kr/år,,,,,,,55.5655735,12.9895629
2 400 000 kr,Västra Kristinelundsvägen 33A,Lägenhet,"Slottsstaden, Malmö kommun",Såld 20 april 2022,,,46 243 kr/m²,2 295 000 kr,+105 000 kr (+5 %),Lägenhet,Bostadsrätt,2 rum,"51,9 m²",Ja,"4 av 4, hiss finns ej",1949,3 321 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-vastra-kristinelundsvagen-33a-3498037803203364217,,,,,,,,55.59604625,12.97351034420436
1 195 000 kr,Rödkullastigen 9B,Lägenhet,"Almhög, Malmö kommun",Såld 06 mars 2020,Martin Arup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/martin-arup-6181,17 194 kr/m²,1 195 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,3 rum,"69,5 m²",Ja,,1960,4 738 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-almhog-malmo-kommun-rodkullastigen-9b-1152647,4 860 kr/år,,,,,,,55.5747039,13.0200638
1 250 000 kr,Ellstorpsgatan 1C,Lägenhet,"Ellstorp, Malmö kommun",Såld 13 december 2022,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,29 343 kr/m²,1 350 000 kr,-100 000 kr (-7 %),Lägenhet,Bostadsrätt,2 rum,"42,6 m²",Ja,"2 av 6, hiss finns",1939,2 375 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ellstorp-malmo-kommun-ellstorpsgatan-1c-3977704768069991213,,,,,,,,55.6036427,13.0301157
